date,action,ticker,execution_price,market_price,quantity,quantity_signed,cash_balance,position_value,total_value
2024-05-06,SELL,LQDT,1.39,1.39,1199501.56,-1199501.56,1670049.23,0.00,1670049.23
2024-05-06,BUY,EQMX,153.30,153.30,10893.88,10893.88,0.00,1670032.45,1670032.45
2024-05-07,SELL,EQMX,154.55,154.55,10893.88,-10893.88,1683632.88,0.00,1683632.88
2024-05-07,BUY,LQDT,1.39,1.39,1208712.73,1208712.73,0.00,1683615.96,1683615.96
2024-05-10,SELL,LQDT,1.40,1.40,1208712.73,-1208712.73,1687466.88,0.00,1687466.88
2024-05-10,BUY,EQMX,155.80,155.80,10830.87,10830.87,0.00,1687449.92,1687449.92
2024-05-21,SELL,EQMX,155.35,155.35,10830.87,-10830.87,1682559.12,0.00,1682559.12
2024-05-21,BUY,LQDT,1.40,1.40,1200958.04,1200958.04,0.00,1682542.21,1682542.21
2024-07-10,SELL,LQDT,1.43,1.43,1200958.04,-1200958.04,1719034.06,0.00,1719034.06
2024-07-10,BUY,GOLD,1.70,1.70,1013272.49,1013272.49,0.00,1719016.78,1719016.78
2024-07-11,SELL,GOLD,1.71,1.71,1013272.49,-1013272.49,1737238.23,0.00,1737238.23
2024-07-11,BUY,LQDT,1.43,1.43,1212973.59,1212973.59,0.00,1737220.77,1737220.77
2024-07-12,SELL,LQDT,1.43,1.43,1212973.59,-1212973.59,1739507.94,0.00,1739507.94
2024-07-12,BUY,GOLD,1.71,1.71,1015760.85,1015760.85,0.00,1739490.46,1739490.46
2024-07-18,SELL,GOLD,1.74,1.74,1015760.85,-1015760.85,1764866.74,0.00,1764866.74
2024-07-18,BUY,LQDT,1.44,1.44,1228490.19,1228490.19,0.00,1764849.00,1764849.00
2024-07-24,SELL,LQDT,1.44,1.44,1228490.19,-1228490.19,1769253.79,0.00,1769253.79
2024-07-24,BUY,OBLG,142.72,142.72,12396.55,12396.55,0.00,1769236.01,1769236.01
2024-07-25,SELL,OBLG,142.64,142.64,12396.55,-12396.55,1768226.51,0.00,1768226.51
2024-07-25,BUY,LQDT,1.44,1.44,1227240.94,1227240.94,0.00,1768208.74,1768208.74
2024-08-05,SELL,LQDT,1.45,1.45,1227240.94,-1227240.94,1776904.29,0.00,1776904.29
2024-08-05,BUY,OBLG,143.32,143.32,12398.04,12398.04,0.00,1776886.44,1776886.44
2024-08-19,SELL,OBLG,144.20,144.20,12398.04,-12398.04,1787778.74,0.00,1787778.74
2024-08-19,BUY,LQDT,1.46,1.46,1226509.86,1226509.86,0.00,1787760.77,1787760.77
2024-08-26,SELL,LQDT,1.46,1.46,1226509.86,-1226509.86,1793384.69,0.00,1793384.69
2024-08-26,BUY,GOLD,1.82,1.82,987264.89,987264.89,0.00,1793366.67,1793366.67
2024-09-02,SELL,GOLD,1.81,1.81,987264.89,-987264.89,1782982.47,0.00,1782982.47
2024-09-02,BUY,LQDT,1.47,1.47,1215712.91,1215712.91,0.00,1782964.55,1782964.55
2024-09-05,SELL,LQDT,1.47,1.47,1215712.91,-1215712.91,1785985.88,0.00,1785985.88
2024-09-05,BUY,GOLD,1.81,1.81,985633.52,985633.52,0.00,1785967.94,1785967.94
2024-09-06,SELL,GOLD,1.82,1.82,985633.52,-985633.52,1795313.41,0.00,1795313.41
2024-09-06,BUY,LQDT,1.47,1.47,1220210.27,1220210.27,0.00,1795295.37,1795295.37
2024-09-09,SELL,LQDT,1.47,1.47,1220210.27,-1220210.27,1796253.48,0.00,1796253.48
2024-09-09,BUY,GOLD,1.83,1.83,982623.32,982623.32,0.00,1796235.43,1796235.43
2024-10-01,SELL,GOLD,2.05,2.05,982623.32,-982623.32,2009935.80,0.00,2009935.80
2024-10-01,BUY,LQDT,1.49,1.49,1350296.01,1350296.01,0.00,2009915.60,2009915.60
2024-10-02,SELL,LQDT,1.49,1.49,1350296.01,-1350296.01,2011110.66,0.00,2011110.66
2024-10-02,BUY,GOLD,2.04,2.04,985828.65,985828.65,0.00,2011090.45,2011090.45
2024-10-28,SELL,GOLD,2.17,2.17,985828.65,-985828.65,2137747.94,0.00,2137747.94
2024-10-28,BUY,LQDT,1.51,1.51,1417214.57,1417214.57,0.00,2137726.46,2137726.46
2024-12-27,SELL,LQDT,1.56,1.56,1417214.57,-1417214.57,2210265.63,0.00,2210265.63
2024-12-27,BUY,OBLG,147.12,147.12,15023.41,15023.41,0.00,2210243.42,2210243.42
2024-12-30,SELL,OBLG,149.24,149.24,15023.41,-15023.41,2242070.51,0.00,2242070.51
2024-12-30,BUY,LQDT,1.56,1.56,1432984.77,1432984.77,0.00,2242047.97,2242047.97
2025-01-10,SELL,LQDT,1.57,1.57,1432984.77,-1432984.77,2254778.88,0.00,2254778.88
2025-01-10,BUY,OBLG,150.04,150.04,15027.70,15027.70,0.00,2254756.22,2254756.22
2025-01-14,SELL,OBLG,150.42,150.42,15027.70,-15027.70,2260444.03,0.00,2260444.03
2025-01-14,BUY,LQDT,1.58,1.57,1435188.13,1435188.13,0.00,2260421.31,2260421.31
2025-01-23,SELL,LQDT,1.58,1.58,1435188.13,-1435188.13,2272167.02,0.00,2272167.02
2025-01-23,BUY,OBLG,151.56,151.56,14991.71,14991.71,0.00,2272144.18,2272144.18
2025-01-24,SELL,OBLG,151.94,151.94,14991.71,-14991.71,2277818.14,0.00,2277818.14
2025-01-24,BUY,LQDT,1.59,1.59,1436460.39,1436460.39,0.00,2277795.25,2277795.25
2025-01-27,SELL,LQDT,1.59,1.59,1436460.39,-1436460.39,2278777.87,0.00,2278777.87
2025-01-27,BUY,OBLG,151.44,151.44,15047.25,15047.25,0.00,2278754.97,2278754.97
2025-02-03,SELL,OBLG,152.74,152.74,15047.25,-15047.25,2298293.29,0.00,2298293.29
2025-02-03,BUY,LQDT,1.59,1.59,1443183.79,1443183.79,0.00,2298270.19,2298270.19
2025-02-05,SELL,LQDT,1.59,1.59,1443183.79,-1443183.79,2300989.12,0.00,2300989.12
2025-02-05,BUY,OBLG,152.42,152.42,15096.22,15096.22,0.00,2300965.99,2300965.99
2025-02-07,SELL,OBLG,152.74,152.74,15096.22,-15096.22,2305773.61,0.00,2305773.61
2025-02-07,BUY,LQDT,1.60,1.60,1443168.58,1443168.58,0.00,2305750.44,2305750.44
